amount,average_transaction_amount,amount_ratio,transaction_hour,transaction_day,location_match,location_changed,new_device,trusted_ip,vpn_used,failed_login_count,password_reset,otp_verified,session_duration_minutes,ip_reputation_score,new_receiver,receiver_trust_score,receiver_risk_score,merchant_category,payment_method,high_risk_merchant,night_transaction,impossible_travel,time_gap_minutes,previous_transactions_last_1_hour,previous_transactions_last_24_hours,high_value_transaction,persona,home_city,login_city,transaction_city,is_fraud
5123.19,309.15,16.572,0,0,1,1,0,0,1,0,0,1,25,100,1,29,94,Crypto,Credit Card,1,1,1,12.0,0,0,1,Student,Kochi,Gurgaon,Gurgaon,1
196.83,309.15,0.637,2,0,1,1,0,0,0,0,0,1,12,93,1,93,10,Food,UPI,0,1,0,3.0,0,1,0,Student,Kochi,Gurgaon,Gurgaon,0
234.75,309.15,0.759,4,0,1,0,0,1,0,0,0,1,11,88,0,74,4,Electronics,UPI,0,1,0,6.0,0,2,0,Student,Kochi,Kochi,Kochi,0
434.67,309.15,1.406,6,0,1,1,0,0,0,0,0,1,17,87,1,72,19,Food,UPI,0,0,0,3.0,0,3,0,Student,Kochi,Gurgaon,Gurgaon,0
452.13,309.15,1.462,8,0,1,0,0,1,0,1,0,1,9,97,0,93,11,Travel,UPI,0,0,0,3.0,0,4,0,Student,Kochi,Kochi,Kochi,0
341.4,309.15,1.104,18,0,1,0,0,1,0,0,0,1,12,89,0,93,11,E-commerce,UPI,0,0,0,5.0,0,5,0,Student,Kochi,Kochi,Kochi,0
268.69,309.15,0.869,5,2,1,0,0,1,0,0,0,1,10,86,1,93,11,Electronics,UPI,0,0,0,6.0,0,0,0,Student,Kochi,Kochi,Kochi,0
4598.46,309.15,14.875,21,2,1,0,0,1,1,0,0,1,15,95,1,25,81,Crypto,Net Banking,1,0,0,11.0,0,1,1,Student,Kochi,Kochi,Kochi,1
249.87,309.15,0.808,18,3,1,0,0,1,0,0,0,0,28,90,0,93,11,E-commerce,UPI,0,0,0,13.0,0,1,0,Student,Kochi,Kochi,Kochi,0
235.42,309.15,0.762,18,3,1,0,0,1,0,0,0,1,25,85,1,74,4,Groceries,UPI,0,0,0,11.0,1,2,0,Student,Kochi,Kochi,Kochi,0
176.53,309.15,0.571,22,3,1,0,0,1,0,0,0,1,14,95,0,93,11,Retail,UPI,0,0,0,11.0,0,2,0,Student,Kochi,Kochi,Kochi,0
343.17,309.15,1.11,16,4,1,0,0,1,0,0,0,1,27,86,0,74,4,Groceries,UPI,0,0,0,7.0,0,3,0,Student,Kochi,Kochi,Kochi,0
2395.26,309.15,7.748,21,4,1,0,1,0,1,0,0,1,31,55,1,20,92,Food,UPI,0,0,0,11.0,0,2,1,Student,Kochi,Kochi,Kochi,1
5128.76,309.15,16.59,22,5,1,0,0,1,1,0,0,1,10,92,1,17,73,Crypto,Credit Card,1,0,1,4.0,0,0,1,Student,Kochi,Kochi,Kochi,1
103.57,309.15,0.335,0,0,1,0,0,1,0,2,0,1,18,89,1,95,16,Groceries,UPI,0,1,0,5.0,0,0,0,Student,Kochi,Kochi,Kochi,0
462.41,309.15,1.496,4,0,1,1,0,0,0,0,0,1,17,97,0,95,16,Groceries,UPI,0,1,1,6.0,0,1,0,Student,Kochi,Pune,Pune,0
220.46,309.15,0.713,6,1,1,0,0,1,0,0,0,1,26,88,0,93,10,E-commerce,UPI,0,0,0,10.0,0,0,0,Student,Kochi,Kochi,Kochi,0
198.67,309.15,0.643,7,1,1,1,0,0,0,0,0,1,2,89,0,74,4,Groceries,UPI,0,0,0,1.0,1,1,0,Student,Kochi,Pune,Pune,0
183.92,309.15,0.595,8,1,1,1,0,0,0,0,0,1,12,90,0,93,11,E-commerce,UPI,0,0,0,10.0,1,2,0,Student,Kochi,Pune,Pune,0
125.92,309.15,0.407,9,1,1,1,0,0,0,2,0,1,21,97,1,91,10,Food,UPI,0,0,0,2.0,1,3,0,Student,Kochi,Pune,Pune,0
169.01,309.15,0.547,21,1,1,1,0,0,1,1,0,1,8,80,0,72,19,Retail,UPI,0,0,0,4.0,0,4,0,Student,Kochi,Pune,Pune,0
969.38,309.15,3.136,16,2,1,0,0,1,0,0,0,1,18,86,0,72,19,Travel,UPI,0,0,0,10.0,0,1,0,Student,Kochi,Kochi,Kochi,0
284.27,309.15,0.92,21,2,1,1,0,0,0,0,0,1,25,85,0,93,11,Food,UPI,0,0,0,14.0,0,2,0,Student,Kochi,Pune,Pune,0
2380.78,2370.34,1.004,22,6,1,0,0,1,0,0,0,1,26,95,0,72,13,Food,NEFT,0,0,0,12.0,0,0,0,Senior Citizen,Kolkata,Kolkata,Kolkata,0
1869.59,2370.34,0.789,22,6,1,0,0,1,0,0,0,1,11,100,0,83,2,Travel,NEFT,0,0,0,5.0,1,1,0,Senior Citizen,Kolkata,Kolkata,Kolkata,0
25994.45,2370.34,10.967,22,0,1,1,1,0,0,2,1,1,32,27,1,7,79,E-commerce,Credit Card,0,0,1,15.0,0,2,1,Senior Citizen,Kolkata,Pune,Pune,1
8650.64,2370.34,3.65,7,2,1,0,0,1,0,0,0,1,17,98,1,72,13,E-commerce,NEFT,0,0,0,7.0,0,0,0,Senior Citizen,Kolkata,Kolkata,Kolkata,0
2122.51,2370.34,0.895,12,2,0,1,0,1,0,1,0,1,15,94,1,83,2,Food,NEFT,0,0,0,5.0,0,1,0,Senior Citizen,Kolkata,Kolkata,Indore,0
1529.24,2370.34,0.645,18,2,1,0,0,1,0,0,0,1,33,91,0,83,2,Retail,NEFT,0,0,0,15.0,0,2,0,Senior Citizen,Kolkata,Kolkata,Kolkata,0
2270.27,2370.34,0.958,17,3,1,0,0,1,0,0,0,1,30,100,0,72,13,Groceries,NEFT,0,0,1,11.0,0,1,0,Senior Citizen,Kolkata,Kolkata,Kolkata,0
3056.93,2370.34,1.29,18,6,1,0,0,1,0,0,0,1,26,96,0,72,13,Food,NEFT,0,0,0,11.0,0,0,0,Senior Citizen,Kolkata,Kolkata,Kolkata,0
2092.08,2370.34,0.883,23,6,1,0,0,1,0,0,0,1,30,91,1,83,7,Food,NEFT,0,0,0,10.0,0,1,0,Senior Citizen,Kolkata,Kolkata,Kolkata,0
7485.84,2370.34,3.158,1,0,0,1,0,1,0,2,0,0,5,97,1,86,26,E-commerce,NEFT,0,1,0,1.0,0,2,0,Senior Citizen,Kolkata,Kolkata,Lucknow,0
2408.79,2370.34,1.016,9,0,1,0,0,1,0,0,0,1,4,89,0,72,13,E-commerce,NEFT,0,0,0,1.0,0,3,0,Senior Citizen,Kolkata,Kolkata,Kolkata,0
3387.68,2370.34,1.429,15,0,0,1,0,1,0,0,0,1,16,93,0,83,2,Groceries,NEFT,0,0,0,4.0,0,4,0,Senior Citizen,Kolkata,Kolkata,Ahmedabad,0
8787.97,2370.34,3.707,15,0,1,1,0,0,0,0,0,1,29,98,0,83,2,Food,IMPS,0,0,1,13.0,1,5,0,Senior Citizen,Kolkata,Delhi,Delhi,1
1242.88,2370.34,0.524,13,1,1,0,0,1,0,1,0,1,24,97,0,83,2,Food,NEFT,0,0,0,14.0,0,2,0,Senior Citizen,Kolkata,Kolkata,Kolkata,0
1275.54,2370.34,0.538,22,1,1,0,0,1,0,0,0,1,17,97,1,92,29,Food,NEFT,0,0,0,2.0,0,1,0,Senior Citizen,Kolkata,Kolkata,Kolkata,0
779.68,2370.34,0.329,23,1,1,0,0,1,0,0,0,1,19,96,0,83,7,Electronics,NEFT,0,0,0,13.0,1,2,0,Senior Citizen,Kolkata,Kolkata,Kolkata,0
10735.44,2370.34,4.529,2,2,1,0,0,1,0,0,0,1,19,96,0,92,29,Retail,NEFT,0,1,0,7.0,0,3,1,Senior Citizen,Kolkata,Kolkata,Kolkata,0
1394.07,2370.34,0.588,6,2,1,0,0,1,0,0,0,1,14,91,0,86,26,Groceries,NEFT,0,0,1,5.0,0,4,0,Senior Citizen,Kolkata,Kolkata,Kolkata,0
3095.66,2370.34,1.306,15,2,1,0,0,1,0,0,0,1,9,92,0,72,13,Electronics,NEFT,0,0,0,8.0,0,4,0,Senior Citizen,Kolkata,Kolkata,Kolkata,0
316.91,445.55,0.711,10,0,0,1,0,1,0,0,0,1,7,89,1,82,0,Retail,Credit Card,0,0,0,3.0,0,0,0,Student,Chandigarh,Chandigarh,Jaipur,0
344.17,445.55,0.772,7,3,0,1,0,1,0,0,0,1,26,95,0,82,0,Groceries,Credit Card,0,0,0,7.0,0,0,0,Student,Chandigarh,Chandigarh,Hyderabad,0
308.13,445.55,0.692,7,4,1,0,0,1,0,0,0,1,22,89,0,82,0,Food,Credit Card,0,0,0,13.0,0,0,0,Student,Chandigarh,Chandigarh,Chandigarh,0
