log_id,transaction_id,customer_id,login_time,logout_time,event_type,login_location,previous_login_city,device_id,device_type,browser,operating_system,ip_address,vpn_used,failed_login_count,password_reset,otp_verified,session_duration_minutes,ip_reputation_score,login_method,biometric_used,country
LOG_458685E7F0AE,TXN_D38BDF984D4D,CUST_3D000F3782B4,2026-06-16 19:36:02,2026-06-16 19:50:02,Transaction_Initiated,Gurgaon,Gurgaon,DEV_0249210CF674,Smartphone,Firefox,macOS,169.79.121.222,False,0,False,True,14,99,Biometric,False,India
LOG_D8D8CAFDAE47,TXN_2295E7C55BD6,CUST_166BFE400FBB,2026-06-16 19:39:02,2026-06-16 20:09:02,Transaction_Initiated,Ahmedabad,Ahmedabad,DEV_7CEB6DD46516,Desktop,Edge,iOS,34.194.49.92,False,0,False,True,30,94,Password,True,India
LOG_A1A6A5935948,TXN_DAA1C6F74650,CUST_88003A890783,2026-06-16 20:07:02,2026-06-16 20:34:02,Transaction_Initiated,Hyderabad,Hyderabad,DEV_1D0767C5C43F,Desktop,Safari,macOS,231.50.25.167,False,0,False,True,27,94,Password,False,India
LOG_13BD60B06FA1,TXN_35F8791046A6,CUST_6E9FB0F33173,2026-06-16 20:26:02,2026-06-16 20:45:02,Transaction_Initiated,Lucknow,Lucknow,DEV_106545D10191,Laptop,Edge,Android,158.192.203.242,False,0,False,True,19,97,Password,False,India
LOG_B36AB38F641F,TXN_D7BA30471679,CUST_8966A3CE4048,2026-06-16 21:22:02,2026-06-16 21:54:02,Transaction_Initiated,Bengaluru,Bengaluru,DEV_B8C0E0B6C9F7,Tablet,Edge,Windows,152.5.58.175,False,0,False,True,32,87,Biometric,False,India
LOG_1ABBE544411B,TXN_97C3B88B7E72,CUST_166838FFAEA4,2026-06-16 22:22:02,2026-06-16 22:38:02,Transaction_Initiated,Bengaluru,Mumbai,DEV_07229593BF32,Smartphone,Safari,iOS,122.50.51.114,False,0,False,True,16,98,Password,False,India
LOG_422082041F11,TXN_6AE899426028,CUST_A274A25A299E,2026-06-16 23:05:02,2026-06-16 23:21:02,Transaction_Initiated,Ahmedabad,Ahmedabad,DEV_AED579B3AD9F,Tablet,Edge,Windows,158.27.77.39,False,0,False,False,16,96,Password,False,India
LOG_E2AC02BBCF79,TXN_A4B45C9B7F81,CUST_C6FAC3E395B8,2026-06-17 00:02:02,2026-06-17 00:15:02,Transaction_Initiated,Chennai,Chennai,DEV_58968C7F38A6,Desktop,Mobile App,Windows,188.78.109.17,True,0,False,True,13,73,Password,True,India
LOG_F75C5517DF5A,TXN_76371F132D7A,CUST_99B31E34B435,2026-06-17 00:43:02,2026-06-17 00:52:02,Transaction_Initiated,Kolkata,Kolkata,DEV_D0AA3FFE8F05,Laptop,Mobile App,Windows,236.125.189.73,False,0,False,True,9,94,Password,False,India
LOG_98FAE359AB7A,TXN_B137A9F10C82,CUST_5A5043D289DC,2026-06-17 01:36:02,2026-06-17 01:59:02,Transaction_Initiated,Mumbai,Mumbai,DEV_FA1FC2357F3F,Laptop,Chrome,macOS,196.242.124.201,False,0,False,True,23,96,Password,False,India
LOG_D697F5A3053D,TXN_110ADCBE06C4,CUST_24ED2A165FC1,2026-06-17 02:18:02,2026-06-17 02:21:02,Transaction_Initiated,Mumbai,Mumbai,DEV_3315934EF650,Tablet,Firefox,macOS,180.63.153.130,False,0,False,True,3,94,Password,True,India
LOG_ECF331CA422C,TXN_986F9F8F6B37,CUST_166838FFAEA4,2026-06-17 03:08:02,2026-06-17 03:24:02,Transaction_Initiated,Bengaluru,Bengaluru,DEV_07229593BF32,Smartphone,Firefox,Android,149.214.79.227,False,0,False,True,16,86,PIN,False,India
LOG_8C1FAA31C8B0,TXN_1B0C50ECD949,CUST_770111A024A1,2026-06-17 03:37:02,2026-06-17 04:09:02,Transaction_Initiated,Delhi,Delhi,DEV_3EB8A52ECE7B,Tablet,Safari,iOS,83.51.99.76,False,0,False,True,32,89,Biometric,True,India
LOG_E3CD8472082F,TXN_FEF3C7A6EBA6,CUST_ACBB55076F6F,2026-06-17 04:12:02,2026-06-17 04:18:02,Transaction_Initiated,Delhi,Delhi,DEV_386F7EB367DA,Desktop,Edge,Android,113.18.232.23,False,0,False,True,6,92,Biometric,False,India
LOG_FDD84795C2BC,TXN_D170DCD721E7,CUST_ACBB55076F6F,2026-06-17 04:35:02,2026-06-17 04:46:02,Transaction_Initiated,Delhi,Delhi,DEV_386F7EB367DA,Desktop,Edge,macOS,113.18.232.23,False,1,False,False,11,86,Password,True,India
LOG_896E03924EA6,TXN_F4D7D34A44F3,CUST_AA9EDE3072FA,2026-06-17 04:56:02,2026-06-17 05:14:02,Transaction_Initiated,Chennai,Chennai,DEV_C19C611ADC3B,Smartphone,Edge,macOS,101.132.174.72,False,0,False,True,18,91,Password,True,India
LOG_463681DAF9A1,TXN_88264F840C2E,CUST_01C02537A5CA,2026-06-17 05:18:02,2026-06-17 05:28:02,Transaction_Initiated,Kochi,Kochi,DEV_6424112E6270,Smartphone,Edge,Windows,207.37.233.107,False,0,False,True,10,86,Biometric,False,India
LOG_4CCE096F750C,TXN_9C38D4C03AFB,CUST_15C44D3CE34B,2026-06-17 06:06:02,2026-06-17 06:38:02,Transaction_Initiated,Indore,Indore,DEV_0884DDC56CF0,Laptop,Mobile App,Android,243.136.72.19,False,0,False,True,32,93,Biometric,False,India
LOG_F22FD18A8C4F,TXN_DD8C67C41E71,CUST_41A22B0C3C72,2026-06-17 06:16:02,2026-06-17 06:32:02,Transaction_Initiated,Hyderabad,Hyderabad,DEV_B6104DED4BD7,Tablet,Firefox,Android,36.31.206.187,False,0,False,True,16,97,Biometric,True,India
